Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 14, 2020","2,794.80","2,827.30","2,789.43","2,827.28","2,827.28","202,700"
"Apr 13, 2020","2,784.60","2,792.89","2,774.08","2,783.05","2,783.05","177,100"
"Apr 10, 2020","2,827.19","2,833.01","2,789.98","2,796.63","2,796.63","233,500"
"Apr 09, 2020","2,825.84","2,832.40","2,820.43","2,825.90","2,825.90","238,200"
"Apr 08, 2020","2,805.92","2,823.21","2,800.30","2,815.37","2,815.37","243,500"
"Apr 07, 2020","2,806.97","2,823.28","2,801.84","2,820.76","2,820.76","270,200"
"Apr 03, 2020","2,773.58","2,780.59","2,754.07","2,763.99","2,763.99","200,800"
"Apr 02, 2020","2,720.23","2,780.64","2,719.90","2,780.64","2,780.64","217,900"
"Apr 01, 2020","2,743.54","2,773.36","2,731.08","2,734.52","2,734.52","217,300"
"Mar 31, 2020","2,767.31","2,771.17","2,743.11","2,750.30","2,750.30","218,600"
"Mar 30, 2020","2,739.72","2,759.10","2,723.05","2,747.21","2,747.21","239,700"
"Mar 27, 2020","2,792.98","2,805.55","2,771.76","2,772.20","2,772.20","240,800"
"Mar 26, 2020","2,761.90","2,788.50","2,753.43","2,764.91","2,764.91","234,100"
"Mar 25, 2020","2,775.30","2,788.64","2,757.80","2,781.59","2,781.59","273,100"
"Mar 24, 2020","2,703.02","2,723.41","2,667.13","2,722.44","2,722.44","257,000"
"Mar 23, 2020","2,677.59","2,703.33","2,656.50","2,660.17","2,660.17","249,800"
"Mar 20, 2020","2,727.02","2,751.90","2,702.49","2,745.62","2,745.62","252,000"
"Mar 19, 2020","2,719.41","2,736.82","2,646.80","2,702.13","2,702.13","302,300"
"Mar 18, 2020","2,792.32","2,815.87","2,728.76","2,728.76","2,728.76","291,200"
"Mar 17, 2020","2,796.28","2,826.91","2,715.22","2,779.64","2,779.64","306,100"
"Mar 16, 2020","2,897.30","2,898.03","2,784.66","2,789.25","2,789.25","351,900"
"Mar 13, 2020","2,804.23","2,910.88","2,799.98","2,887.43","2,887.43","366,500"
"Mar 12, 2020","2,936.02","2,944.47","2,906.28","2,923.49","2,923.49","307,800"
"Mar 11, 2020","3,001.76","3,010.03","2,968.52","2,968.52","2,968.52","352,500"
